ra,dec,PA,dPA
0.9133951058533404,0.5442443520782633,-0.4472056848831221,0.13885970323768662
0.9133951266076814,0.5442785311733276,-0.3496402476568126,0.13022415449613758
0.9134351004612802,0.544312692242839,-0.05343706792044452,0.12492345464373364
0.9133951473628853,0.5443127102746999,-0.07288970332943666,0.11985535025303197
0.9134351220475875,0.5443468713490456,-0.24754111414136004,0.12881221528941048
0.9133952096336722,0.5444152476158702,0.6680333912208278,0.11760184842851343
0.9134351868118923,0.544449408704239,0.27754388708685074,0.13352385146814716
0.9133952303923266,0.5444494267416784,0.41773002432588097,0.14758186649080088
0.9121965368956956,0.5444496389469834,0.6999539922625108,0.12354104311129256
0.9121965327437882,0.544483818095108,0.6770031556913256,0.10347693659756835
0.9121565754542907,0.5444838142043745,0.4862170603403916,0.09817723575382138
0.9121166181655587,0.5444838096062348,0.29039238619095126,0.14924099343025246
0.913395271912224,0.5445177850109426,0.6988035804394418,0.1255531686795454
0.9122764448333216,0.5445180029087486,0.4170992964488325,0.15444540534160822
0.9122364867122598,0.5445180004326355,0.48651104715748056,0.13529141493894856
0.9119967380010727,0.5445179707192834,-0.9299871303474659,0.14484777337641433
0.9119567798862631,0.5445179632909461,-0.853431680461569,0.09867100397085879
0.9119168217728573,0.5445179551551487,-0.5625748001074908,0.11225554534198585
0.9118768636609824,0.5445179463118905,-0.13879463075718154,0.12814907772077397
0.9132354569996178,0.5445520292456005,-0.10727672685215878,0.1068107341818616
0.9122764423419699,0.54455218206889,0.21108590835103122,0.12835628125332912
0.9122364833904575,0.5445521795925856,0.21895264255008023,0.09337718044012186
0.9120366886431043,0.5445521565983329,-0.521528550197662,0.1279126972426573
0.9119967296965685,0.5445521498769361,-0.5983508508848615,0.10927101722534152
0.9119567707513089,0.5445521424480247,-0.575561311607526,0.11007914206788545
0.9119168118074529,0.5445521343115981,-0.46390855926863594,0.11014738811682051
0.9118768528651282,0.5445521254676566,-0.15026320049481776,0.14844758597641264
0.9123963191982934,0.5445863644187671,0.2911711103437999,0.10849890516723495
0.9123563594155304,0.5445863640649824,0.32885366483296163,0.1520811762210738
0.9122764398505148,0.5445863612347012,0.036365352734787276,0.09817004843470652
0.9122364800685173,0.5445863587582057,0.19372641113765976,0.10756026499618969
0.9120366811687396,0.5445863357621753,-0.2746794366272337,0.08674189551246729
0.9119967213917192,0.544586329040259,-0.36182226180713856,0.10810021100378728
0.911876842068825,0.5445863046290922,0.48229070105472494,0.12859153707815518
0.9131955312942092,0.5446204020654849,-0.2470758093239605,0.15826631041976036
0.9123963191982934,0.5446205435904145,0.40303228175525485,0.09164346795939193
0.9123563585850107,0.5446205432366019,0.3740571848012342,0.0776445563932199
0.9123163979718558,0.5446205421751648,0.03737351397333256,0.16271119375275167
0.912276437358956,0.5446205404061024,-0.33164200264470256,0.1173420221749018
0.9120366736940642,0.5446205149316072,-0.25716985640650936,0.08275326723297234
0.9119967130865245,0.5446205082091716,-0.38060974147791943,0.12966149006294006
