time      CO        HCO+      DCO+      
1.000e-01 0.000e+00 0.000e+00 0.000e+00 
1.205e-01 2.864e-13 1.317e-13 3.597e-18 
1.451e-01 1.208e-12 1.590e-13 5.153e-18 
1.748e-01 2.784e-12 1.641e-13 5.394e-18 
2.105e-01 5.280e-12 1.682e-13 5.494e-18 
2.535e-01 9.151e-12 1.731e-13 5.616e-18 
3.054e-01 1.506e-11 1.788e-13 5.775e-18 
3.678e-01 2.400e-11 1.856e-13 5.983e-18 
4.431e-01 3.737e-11 1.935e-13 6.244e-18 
5.337e-01 5.728e-11 2.026e-13 6.559e-18 
6.428e-01 8.673e-11 2.130e-13 6.920e-18 
7.743e-01 1.301e-10 2.249e-13 7.318e-18 
9.326e-01 1.938e-10 2.382e-13 7.754e-18 
1.123e+00 2.870e-10 2.529e-13 8.231e-18 
1.353e+00 4.230e-10 2.690e-13 8.748e-18 
1.630e+00 6.210e-10 2.862e-13 9.302e-18 
1.963e+00 9.089e-10 3.044e-13 9.887e-18 
2.364e+00 1.326e-09 3.233e-13 1.050e-17 
2.848e+00 1.931e-09 3.423e-13 1.112e-17 
3.430e+00 2.806e-09 3.612e-13 1.174e-17 
4.132e+00 4.069e-09 3.796e-13 1.235e-17 
4.977e+00 5.889e-09 3.972e-13 1.295e-17 
5.995e+00 8.510e-09 4.137e-13 1.353e-17 
7.221e+00 1.227e-08 4.290e-13 1.407e-17 
8.697e+00 1.766e-08 4.430e-13 1.457e-17 
1.048e+01 2.536e-08 4.555e-13 1.504e-17 
1.262e+01 3.630e-08 4.666e-13 1.546e-17 
1.520e+01 5.176e-08 4.764e-13 1.584e-17 
1.831e+01 7.346e-08 4.855e-13 1.619e-17 
2.205e+01 1.037e-07 4.943e-13 1.654e-17 
2.656e+01 1.453e-07 5.035e-13 1.691e-17 
3.199e+01 2.020e-07 5.140e-13 1.732e-17 
3.854e+01 2.782e-07 5.264e-13 1.782e-17 
4.642e+01 3.792e-07 5.411e-13 1.841e-17 
5.591e+01 5.111e-07 5.588e-13 1.914e-17 
6.734e+01 6.803e-07 5.800e-13 2.003e-17 
8.111e+01 8.939e-07 6.056e-13 2.115e-17 
9.770e+01 1.159e-06 6.367e-13 2.256e-17 
1.177e+02 1.484e-06 6.747e-13 2.437e-17 
