time      CO        HCO+      DCO+      
1.417e+02 1.875e-06 7.215e-13 2.671e-17 
1.707e+02 2.340e-06 7.794e-13 2.978e-17 
2.057e+02 2.889e-06 8.509e-13 3.387e-17 
2.477e+02 3.532e-06 9.384e-13 3.943e-17 
2.984e+02 4.277e-06 1.044e-12 4.713e-17 
3.594e+02 5.134e-06 1.173e-12 5.813e-17 
4.329e+02 6.111e-06 1.341e-12 7.461e-17 
5.214e+02 7.214e-06 1.576e-12 1.005e-16 
6.280e+02 8.446e-06 1.910e-12 1.431e-16 
7.565e+02 9.801e-06 2.392e-12 2.173e-16 
9.112e+02 1.127e-05 3.117e-12 3.557e-16 
1.097e+03 1.283e-05 4.260e-12 6.360e-16 
1.322e+03 1.446e-05 6.170e-12 1.255e-15 
1.592e+03 1.611e-05 9.552e-12 2.746e-15 
1.918e+03 1.774e-05 1.586e-11 6.610e-15 
2.310e+03 1.933e-05 2.813e-11 1.721e-14 
2.783e+03 2.087e-05 5.282e-11 4.747e-14 
3.352e+03 2.242e-05 1.039e-10 1.366e-13 
4.037e+03 2.406e-05 2.131e-10 4.080e-13 
4.863e+03 2.597e-05 4.514e-10 1.263e-12 
5.857e+03 2.835e-05 9.580e-10 3.947e-12 
7.055e+03 3.139e-05 1.856e-09 1.091e-11 
8.498e+03 3.521e-05 2.981e-09 2.192e-11 
1.024e+04 3.998e-05 4.110e-09 3.431e-11 
1.233e+04 4.582e-05 5.177e-09 4.760e-11 
1.485e+04 5.290e-05 6.172e-09 6.170e-11 
1.789e+04 6.134e-05 7.139e-09 7.721e-11 
2.154e+04 7.126e-05 8.142e-09 9.521e-11 
2.595e+04 8.269e-05 9.243e-09 1.171e-10 
3.126e+04 9.558e-05 1.050e-08 1.445e-10 
3.765e+04 1.097e-04 1.197e-08 1.797e-10 
4.535e+04 1.246e-04 1.370e-08 2.255e-10 
5.462e+04 1.395e-04 1.568e-08 2.846e-10 
6.579e+04 1.537e-04 1.791e-08 3.592e-10 
7.925e+04 1.658e-04 2.030e-08 4.495e-10 
9.545e+04 1.739e-04 2.276e-08 5.559e-10 
1.150e+05 1.730e-04 2.494e-08 6.747e-10 
1.385e+05 1.651e-04 2.635e-08 7.844e-10 
1.668e+05 1.555e-04 2.734e-08 8.887e-10 
2.009e+05 1.446e-04 2.797e-08 9.855e-10 
2.420e+05 1.326e-04 2.816e-08 1.068e-09 
2.915e+05 1.198e-04 2.788e-08 1.128e-09 
3.511e+05 1.064e-04 2.710e-08 1.164e-09 
4.229e+05 9.269e-05 2.586e-08 1.175e-09 
5.094e+05 7.923e-05 2.422e-08 1.165e-09 
6.136e+05 6.651e-05 2.227e-08 1.138e-09 
7.391e+05 5.501e-05 2.011e-08 1.098e-09 
8.902e+05 4.516e-05 1.789e-08 1.047e-09 
1.072e+06 3.721e-05 1.573e-08 9.826e-10 
1.292e+06 3.113e-05 1.366e-08 8.962e-10 
1.556e+06 2.653e-05 1.168e-08 7.831e-10 
1.874e+06 2.339e-05 1.040e-08 6.985e-10 
2.257e+06 2.175e-05 9.844e-09 6.554e-10 
2.719e+06 2.109e-05 9.660e-09 6.367e-10 
3.275e+06 2.091e-05 9.649e-09 6.322e-10 
3.944e+06 2.092e-05 9.704e-09 6.350e-10 
4.751e+06 2.099e-05 9.778e-09 6.413e-10 
5.722e+06 2.107e-05 9.855e-09 6.487e-10 
6.893e+06 2.114e-05 9.922e-09 6.554e-10 
8.302e+06 2.120e-05 9.971e-09 6.602e-10 
1.000e+07 2.124e-05 1.000e-08 6.632e-10 
