time      CO        HCO+      DCO+      e-        
1.292e+06 1.120e-04 3.148e-08 4.513e-10 7.683e-07 
1.556e+06 1.068e-04 2.790e-08 3.774e-10 8.271e-07 
1.874e+06 1.031e-04 2.583e-08 3.378e-10 8.634e-07 
2.257e+06 1.004e-04 2.433e-08 3.108e-10 8.920e-07 
2.719e+06 9.847e-05 2.312e-08 2.899e-10 9.174e-07 
3.275e+06 9.693e-05 2.216e-08 2.742e-10 9.387e-07 
3.944e+06 9.570e-05 2.144e-08 2.631e-10 9.552e-07 
4.751e+06 9.475e-05 2.092e-08 2.555e-10 9.671e-07 
5.722e+06 9.406e-05 2.057e-08 2.506e-10 9.752e-07 
6.893e+06 9.362e-05 2.036e-08 2.477e-10 9.801e-07 
8.302e+06 9.337e-05 2.024e-08 2.462e-10 9.828e-07 
1.000e+07 9.326e-05 2.019e-08 2.455e-10 9.839e-07 
